"","CODE1","n_codes","n_patients"
"978","6186A",56,54
"979","6566A",56,49
"980","6612B",56,55
"981","6729X",56,56
"982","7192F",56,54
"983","7452A",56,23
"984","7454B",56,35
"985","7545C",56,41
"986","2956A",55,23
"987","4209X",55,43
"988","5932A",55,42
"989","6038X",55,51
"990","6342A",55,54
"991","7178E",55,52
"992","7276C",55,45
"993","7327X",55,47
"994","7533X",55,20
"995","7564A",55,19
"996","9072A",55,26
"997","0310A",54,14
"998","0539X",54,53
"999","2120A",54,40
"1000","3150A",54,17
"1001","3313A",54,22
"1002","3868X",54,52
"1003","5356X",54,49
"1004","5559X",54,31
"1005","5770C",54,31
"1006","6564B",54,52
"1007","6640B",54,53
"1008","7070A",54,17
"1009","7293A",54,54
"1010","7834D",54,29
"1011","7884A",54,47
"1012","8064A",54,37
"1013","8210B",54,34
"1014","8811A",54,49
"1015","9895A",54,53
"1016","0382A",53,47
"1017","0578A",53,53
"1018","1623A",53,16
"1019","2851A",53,50
"1020","3419X",53,23
"1021","3783A",53,47
"1022","4959X",53,46
"1023","5532B",53,47
"1024","6591A",53,50
"1025","7102A",53,32
"1026","7690A",53,39
"1027","8080A",53,34
"1028","9720A",53,44
"1029","4555A",52,51
"1030","4785A",52,44
"1031","5191A",52,33
"1032","5428X",52,51
"1033","5650A",52,49
"1034","5829B",52,10
"1035","5989X",52,30
"1036","6280B",52,47
"1037","7556D",52,21
"1038","7651A",52,28
"1039","8160A",52,47
"1040","8245A",52,40
"1041","8440A",52,44
"1042","2504A",51,35
"1043","3078A",51,35
"1044","3501A",51,34
"1045","3543A",51,42
"1046","3553A",51,41
"1047","3671A",51,42
"1048","3718X",51,27
"1049","4276X",51,44
"1050","4430A",51,29
"1051","4731A",51,41
"1052","5694X",51,17
"1053","6580A",51,43
"1054","6609C",51,50
"1055","7268X",51,44
"1056","8501C",51,49
"1057","0709X",50,43
"1058","2135A",50,45
"1059","4319X",50,29
"1060","5100A",50,26
"1061","7168A",50,39
"1062","7270C",50,48
"1063","7331A",50,16
"1064","7877A",50,45
"1065","8812A",50,41
"1066","0419X",49,43
"1067","3040A",49,31
"1068","3455A",49,26
"1069","3652B",49,30
"1070","3883A",49,31
"1071","5587A",49,40
"1072","6411B",49,48
"1073","7151B",49,41
"1074","7470A",49,31
"1075","8132B",49,35
"1076","1104A",48,41
"1077","2014A",48,13
"1078","3138X",48,25
"1079","3229X",48,38
"1080","3897A",48,28
"1081","6082A",48,41
"1082","6209X",48,47
"1083","6468B",48,34
"1084","6602B",48,48
"1085","7092A",48,48
"1086","7182F",48,40
"1087","8130B",48,43
"1088","9053A",48,42
"1089","V629A",48,30
"1090","2041A",47,15
"1091","3123D",47,12
"1092","3656X",47,20
"1093","4560A",47,19
"1094","4738X",47,38
"1095","5718X",47,37
"1096","6300A",47,29
"1097","6561A",47,15
"1098","7385A",47,27
"1099","7523A",47,42
"1100","9988X",47,45
"1101","2191A",46,42
"1102","2397A",46,37
"1103","2508B",46,22
"1104","2951B",46,23
"1105","3199A",46,23
"1106","3743A",46,37
"1107","3785A",46,36
"1108","4442A",46,34
"1109","4481A",46,31
"1110","6952A",46,39
"1111","7190F",46,38
"1112","7339X",46,37
"1113","7500A",46,46
"1114","7889X",46,35
"1115","8911A",46,41
"1116","V590A",46,35
"1117","2448X",45,31
"1118","2564A",45,42
"1119","5672A",45,22
"1120","5798A",45,23
"1121","6749X",45,41
"1122","8010A",45,40
"1123","8710A",45,37
"1124","9432A",45,42
"1125","9583A",45,41
"1126","1869B",44,9
"1127","1890X",44,29
"1128","2462A",44,43
"1129","2959F",44,23
"1130","5070A",44,39
"1131","5563A",44,20
"1132","5751A",44,43
"1133","6408X",44,42
"1134","6484X",44,31
"1135","6826A",44,40
"1136","7088B",44,40
"1137","7328B",44,38
"1138","7534X",44,15
"1139","7561D",44,29
"1140","9950A",44,43
"1141","0381A",43,31
"1142","1707A",43,6
"1143","1801A",43,12
"1144","2429X",43,38
"1145","2859A",43,18
"1146","2870A",43,29
"1147","3018C",43,27
"1148","4274A",43,32
"1149","4558X",43,40
"1150","4960A",43,16
"1151","5310A",43,35
"1152","5813A",43,15
"1153","5988X",43,21
"1154","8362A",43,42
"1155","9248X",43,42
"1156","2163A",42,32
"1157","2370A",42,22
"1158","3015A",42,13
"1159","3599X",42,17
"1160","3690A",42,13
"1161","3724A",42,39
"1162","4330A",42,29
"1163","4580A",42,29
"1164","4619X",42,41
"1165","4784B",42,33
"1166","5228A",42,41
"1167","5585A",42,38
"1168","5770E",42,27
"1169","6391A",42,40
"1170","6558A",42,32
"1171","6662A",42,42
"1172","6939X",42,37
"1173","7423A",42,11
"1174","7454A",42,30
"1175","7810A",42,32
"1176","V260A",42,42
"1177","1800A",41,21
